Filename,Top_Model_1,Top_Model_2,Top_Model_3
bank-additional-full_normalised_1.csv,1D-CNN,LightGBM,GradientBoosting
bank-additional-full_normalised_2.csv,LightGBM,GradientBoosting,GBM
bank-additional-full_normalised_3.csv,GradientBoosting,GBM,AdaBoost
bank-additional-full_normalised_4.csv,SVM,Simpler_Sequential,GradientBoosting
bank-additional-full_normalised_5.csv,LogisticRegression,GradientBoosting,GBM
creditcard_1.csv,XGBoost,LightGBM,RandomForest
creditcard_2.csv,XGBoost,1D-CNN,Simpler_Sequential
creditcard_2023_1.csv,RandomForest,XGBoost,AdaBoost
creditcard_2023_2.csv,RandomForest,XGBoost,DecisionTree
creditcard_2023_3.csv,RandomForest,XGBoost,AdaBoost
creditcard_2023_4.csv,RandomForest,XGBoost,AdaBoost
creditcard_2023_5.csv,RandomForest,XGBoost,LightGBM
creditcard_3.csv,RandomForest,XGBoost,kNN
creditcard_4.csv,RandomForest,XGBoost,kNN
creditcard_5.csv,RandomForest,XGBoost,AdaBoost
iot_first_1.csv,GradientBoosting,GBM,RandomForest
iot_first_2.csv,LightGBM,RandomForest,GradientBoosting
iot_first_3.csv,LightGBM,RandomForest,GradientBoosting
iot_first_4.csv,RandomForest,GradientBoosting,GBM
iot_first_5.csv,GBM,GradientBoosting,RandomForest
iot_second_1.csv,RandomForest,DecisionTree,XGBoost
iot_second_2.csv,RandomForest,DecisionTree,SVM
iot_second_3.csv,RandomForest,DecisionTree,XGBoost
iot_second_4.csv,RandomForest,DecisionTree,SVM
iot_second_5.csv,RandomForest,DecisionTree,SVM
KDD2014_donors_10feat_nomissing_normalised_1.csv,RandomForest,DecisionTree,XGBoost
KDD2014_donors_10feat_nomissing_normalised_2.csv,AdaBoost,GradientBoosting,GBM
KDD2014_donors_10feat_nomissing_normalised_3.csv,RandomForest,DecisionTree,XGBoost
KDD2014_donors_10feat_nomissing_normalised_4.csv,RandomForest,DecisionTree,XGBoost
KDD2014_donors_10feat_nomissing_normalised_5.csv,DecisionTree,XGBoost,AdaBoost
KDD_first_1.csv,RandomForest,LightGBM,XGBoost
KDD_first_2.csv,LightGBM,XGBoost,RandomForest
KDD_first_3.csv,LightGBM,RandomForest,XGBoost
KDD_first_4.csv,LightGBM,XGBoost,RandomForest
KDD_first_5.csv,XGBoost,LightGBM,RandomForest
KDD_second_1.csv,LightGBM,XGBoost,RandomForest
KDD_second_2.csv,XGBoost,RandomForest,LightGBM
KDD_second_3.csv,RandomForest,LightGBM,XGBoost
KDD_second_4.csv,LightGBM,RandomForest,XGBoost
KDD_second_5.csv,LightGBM,XGBoost,GBM
NBaIoT_device_1_1.csv,XGBoost,RandomForest,DecisionTree
NBaIoT_device_1_2.csv,1D-CNN,RandomForest,AdaBoost
NBaIoT_device_1_3.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_1_4.csv,RandomForest,DecisionTree,XGBoost
NBaIoT_device_1_5.csv,RandomForest,AdaBoost,LightGBM
NBaIoT_device_2_1.csv,DecisionTree,AdaBoost,1D-CNN
NBaIoT_device_2_2.csv,AdaBoost,XGBoost,RandomForest
NBaIoT_device_2_3.csv,RandomForest,AdaBoost,DecisionTree
NBaIoT_device_2_4.csv,RandomForest,AdaBoost,Simpler_Sequential
NBaIoT_device_2_5.csv,AdaBoost,DecisionTree,RandomForest
NBaIoT_device_3_1.csv,RandomForest,DecisionTree,XGBoost
NBaIoT_device_3_2.csv,AdaBoost,LightGBM,XGBoost
NBaIoT_device_3_3.csv,XGBoost,AdaBoost,LightGBM
NBaIoT_device_3_4.csv,RandomForest,XGBoost,AdaBoost
NBaIoT_device_3_5.csv,DecisionTree,AdaBoost,RandomForest
NBaIoT_device_4_1.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_4_2.csv,RandomForest,AdaBoost,XGBoost
NBaIoT_device_4_3.csv,XGBoost,AdaBoost,RandomForest
NBaIoT_device_4_4.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_4_5.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_5_1.csv,XGBoost,RandomForest,DecisionTree
NBaIoT_device_5_2.csv,AdaBoost,LightGBM,RandomForest
NBaIoT_device_5_3.csv,DecisionTree,XGBoost,AdaBoost
NBaIoT_device_5_4.csv,AdaBoost,DecisionTree,XGBoost
NBaIoT_device_5_5.csv,AdaBoost,RandomForest,XGBoost
NBaIoT_device_6_1.csv,RandomForest,DecisionTree,XGBoost
NBaIoT_device_6_2.csv,AdaBoost,DecisionTree,XGBoost
NBaIoT_device_6_3.csv,XGBoost,AdaBoost,RandomForest
NBaIoT_device_6_4.csv,XGBoost,RandomForest,DecisionTree
NBaIoT_device_6_5.csv,RandomForest,DecisionTree,XGBoost
NBaIoT_device_7_1.csv,LightGBM,RandomForest,XGBoost
NBaIoT_device_7_2.csv,RandomForest,XGBoost,AdaBoost
NBaIoT_device_7_3.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_7_4.csv,DecisionTree,AdaBoost,LightGBM
NBaIoT_device_7_5.csv,AdaBoost,LightGBM,RandomForest
NBaIoT_device_8_1.csv,AdaBoost,RandomForest,XGBoost
NBaIoT_device_8_2.csv,AdaBoost,LightGBM,RandomForest
NBaIoT_device_8_3.csv,RandomForest,XGBoost,AdaBoost
NBaIoT_device_8_4.csv,AdaBoost,LightGBM,RandomForest
NBaIoT_device_8_5.csv,DecisionTree,XGBoost,RandomForest
NBaIoT_device_9_1.csv,RandomForest,LightGBM,XGBoost
NBaIoT_device_9_2.csv,RandomForest,XGBoost,AdaBoost
NBaIoT_device_9_3.csv,XGBoost,LightGBM,DecisionTree
NBaIoT_device_9_4.csv,RandomForest,XGBoost,AdaBoost
NBaIoT_device_9_5.csv,1D-CNN,RandomForest,DecisionTree
synthetic_creditcard_1.csv,RandomForest,XGBoost,Simpler_Sequential
synthetic_creditcard_2.csv,RandomForest,XGBoost,GradientBoosting
synthetic_creditcard_3.csv,RandomForest,XGBoost,AdaBoost
synthetic_creditcard_4.csv,RandomForest,XGBoost,1D-CNN
synthetic_creditcard_5.csv,XGBoost,RandomForest,GradientBoosting
UNSW_NB15_first_1.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_first_2.csv,XGBoost,LightGBM,RandomForest
UNSW_NB15_first_3.csv,XGBoost,RandomForest,LightGBM
UNSW_NB15_first_4.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_first_5.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_second_1.csv,XGBoost,LightGBM,RandomForest
UNSW_NB15_second_2.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_second_3.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_second_4.csv,LightGBM,XGBoost,RandomForest
UNSW_NB15_second_5.csv,XGBoost,LightGBM,RandomForest
